number,name,rarity,packs
1,Heracross,♢♢,Arceus
2,Burmy,♢,Arceus
3,Mothim,♢♢,Arceus
4,Combee,♢,Arceus
5,Vespiquen,♢♢,Arceus
6,Cherubi,♢,Arceus
7,Cherrim,♢♢,Arceus
8,Cherrim,♢♢,Arceus
9,Carnivine,♢♢♢,Arceus
10,Leafeon ex,♢♢♢♢,Arceus
11,Houndour,♢,Arceus
12,Houndoom,♢♢,Arceus
13,Heatran,♢♢♢,Arceus
14,Marill,♢,Arceus
15,Azumarill,♢,Arceus
16,Barboach,♢,Arceus
17,Whiscash,♢♢,Arceus
18,Snorunt,♢,Arceus
19,Froslass,♢♢,Arceus
20,Snover,♢,Arceus
21,Abomasnow,♢♢♢,Arceus
22,Glaceon ex,♢♢♢♢,Arceus
23,Origin Forme Palkia,♢♢♢,Arceus
24,Phione,♢♢,Arceus
25,Pikachu,♢,Arceus
26,Raichu,♢♢♢,Arceus
27,Electrike,♢,Arceus
28,Manectric,♢♢,Arceus
29,Clefairy,♢,Arceus
30,Clefable,♢♢,Arceus
31,Gastly,♢,Arceus
32,Haunter,♢,Arceus
33,Gengar,♢♢,Arceus
34,Unown,♢♢,Arceus
35,Rotom,♢♢♢,Arceus
36,Sudowoodo,♢♢,Arceus
37,Phanpy,♢,Arceus
38,Donphan,♢♢,Arceus
39,Larvitar,♢,Arceus
40,Pupitar,♢♢,Arceus
41,Tyranitar,♢♢♢,Arceus
42,Nosepass,♢,Arceus
43,Meditite,♢,Arceus
44,Medicham,♢♢,Arceus
45,Gible,♢,Arceus
46,Gabite,♢,Arceus
47,Garchomp ex,♢♢♢♢,Arceus
48,Zubat,♢,Arceus
49,Golbat,♢,Arceus
50,Crobat,♢♢♢,Arceus
51,Croagunk,♢,Arceus
52,Toxicroak,♢♢,Arceus
53,Magnemite,♢,Arceus
54,Magneton,♢,Arceus
55,Magnezone,♢♢♢,Arceus
56,Mawile,♢,Arceus
57,Probopass ex,♢♢♢♢,Arceus
58,Bronzor,♢,Arceus
59,Bronzong,♢♢,Arceus
60,Origin Forme Dialga,♢♢♢,Arceus
61,Giratina,♢♢♢,Arceus
62,Eevee,♢,Arceus
63,Snorlax,♢♢,Arceus
64,Hoothoot,♢,Arceus
65,Noctowl,♢♢,Arceus
66,Starly,♢,Arceus
67,Staravia,♢,Arceus
68,Staraptor,♢♢,Arceus
69,Shaymin,♢♢♢,Arceus
70,Arceus,♢♢♢,Arceus
71,Arceus ex,♢♢♢♢,Arceus
72,Irida,♢♢,Arceus
73,Celestic Town Elder,♢♢,Arceus
74,Barry,♢♢,Arceus
75,Adaman,♢♢,Arceus
76,Houndoom,☆,Arceus
77,Marill,☆,Arceus
78,Unown,☆,Arceus
79,Sudowoodo,☆,Arceus
80,Magnemite,☆,Arceus
81,Shaymin,☆,Arceus
82,Leafeon ex,☆☆,Arceus
83,Glaceon ex,☆☆,Arceus
84,Garchomp ex,☆☆,Arceus
85,Probopass ex,☆☆,Arceus
86,Arceus ex,☆☆,Arceus
87,Irida,☆☆,Arceus
88,Celestic Town Elder,☆☆,Arceus
89,Barry,☆☆,Arceus
90,Adaman,☆☆,Arceus
91,Leafeon ex,☆☆,Arceus
92,Glaceon ex,☆☆,Arceus
93,Garchomp ex,☆☆,Arceus
94,Probopass ex,☆☆,Arceus
95,Arceus ex,☆☆☆,Arceus
96,Arceus ex,♕,Arceus
